cash_mode,offset,cost_bps,period,rule,target,exposure_error,dynamic_mean,static_mean
PROXY,0,3,DOTCOM,CORE_VOL,0.8139632371967309,1.3952172750464342e-12,0.8136822745510349,0.8136822745496397
PROXY,0,3,GFC,CORE_VOL,0.8362847152675386,3.943956272678406e-12,0.8361927424436264,0.8361927424475704
PROXY,0,3,2011,CORE_VOL,0.8678888837384875,1.8448576000196226e-12,0.8680787558024884,0.8680787558006435
PROXY,0,3,2015_2016,CORE_VOL,0.9525374677104992,5.136224778823362e-12,0.9525231677250705,0.9525231677199343
PROXY,0,3,2018Q4,CORE_VOL,0.8619510614153114,2.6409985309783224e-12,0.8617677731775925,0.8617677731749515
PROXY,0,3,COVID,CORE_VOL,0.7124329181315261,6.356026815979021e-12,0.7110207474431632,0.7110207474495193
PROXY,0,3,2022,CORE_VOL,0.8157503910260857,5.4473092703233306e-12,0.8156029301872273,0.8156029301926746
PROXY,0,3,2023_PLUS,CORE_VOL,0.9526696195316617,2.8307356458867616e-12,0.9527204702158298,0.9527204702186606
PROXY,0,3,2024_PLUS,CORE_VOL,0.9494096032358357,4.169442568979775e-12,0.9494668352810577,0.9494668352768882
PROXY,0,3,EX_MAJOR_SHOCKS,CORE_VOL,0.9447586700189277,6.203593194697987e-12,0.9448073882442832,0.9448073882504868
PROXY,1,0,ALL,VOL,0.8445511818208615,4.878764059412788e-12,0.8446038130874894,0.8446038130826107
PROXY,1,0,DOTCOM,VOL,0.6318003445994691,1.993072373807081e-12,0.6315278539664005,0.6315278539683936
PROXY,1,0,GFC,VOL,0.6720532902618288,1.75470749042006e-12,0.6716618250412327,0.671661825039478
PROXY,1,0,2011,VOL,0.7325194353834377,3.9546144137148076e-13,0.7324980373553993,0.7324980373550039
PROXY,1,0,2015_2016,VOL,0.9071996974016656,4.747424675599632e-12,0.9071934859054573,0.9071934859102048
PROXY,1,0,2018Q4,VOL,0.7132382328636595,2.1163071295404734e-12,0.7111284890911571,0.7111284890932734
PROXY,1,0,COVID,VOL,0.4257745118011371,1.461053500406706e-13,0.4253160605445798,0.4253160605444337
PROXY,1,0,2022,VOL,0.6305115588984336,6.137867991640178e-12,0.6301577159864595,0.6301577159803217
PROXY,1,0,2023_PLUS,VOL,0.8994228473966359,5.029865413064272e-12,0.8995191653238173,0.8995191653187874
PROXY,1,0,2024_PLUS,VOL,0.8952602158606169,1.1765033391952784e-12,0.895376315052363,0.8953763150511865
PROXY,1,0,EX_MAJOR_SHOCKS,VOL,0.8875969331929809,5.695222071722128e-12,0.887684775082641,0.8876847750883362
PROXY,1,0,ALL,CORE_VOL,0.9222601852452499,2.432498646953718e-13,0.9222875423376179,0.9222875423378611
PROXY,1,0,DOTCOM,CORE_VOL,0.8159869038427132,2.4181767699360535e-12,0.8158013841677363,0.8158013841701545
PROXY,1,0,GFC,CORE_VOL,0.8358457721988088,5.4931614812403495e-12,0.8355868277156335,0.8355868277211267
PROXY,1,0,2011,CORE_VOL,0.8662836892253836,2.6173507805538065e-12,0.8662652337683711,0.8662652337709884
